id;mois_defaillance;montant_pa_due;montant_pa_versee;flag_dette_initiale;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;2026-01-07;26534.88;22405.51;true;wholly er scarily;spark;21:16:00;out gadzooks entwine;14:18:00;14942
2;2026-01-07;2297.49;22408.37;false;responsible;when these;13:17:00;wherever inside;21:33:00;3592
3;2026-01-06;13213;10071.64;false;gee;whoa along;22:06:00;justly because irritably;22:36:00;5915
4;2026-01-06;2395.7;11587.52;false;conceal on knotty;complication concentration stiff;10:00:00;negligible ick;02:18:00;25059
5;2026-01-06;28604.71;18044.91;true;because awkwardly truly;babushka boo coolly;02:53:00;moor upward;00:35:00;702
6;2026-01-06;21338.18;1293.33;false;essence while;bah shanghai floodlight;10:19:00;second-hand yowza concerning;00:37:00;23247
7;2026-01-07;8642.09;27176.44;false;duh;oh buck hammock;09:51:00;jaggedly with inspection;23:30:00;12317
8;2026-01-07;24943.59;32295.06;true;consequently baseboard;innovation per;08:27:00;amidst igloo;14:43:00;1225
9;2026-01-07;22758.87;24034.35;false;subexpression forenenst;unless;09:10:00;resolve;01:45:00;18145
10;2026-01-06;5466.19;1633.37;true;mid why majestically;curl helplessly physically;02:02:00;contrast intrepid sans;01:42:00;7894
