id;num_dossier_nor;num_dossier_gaia;reception_date_nor;validation_date_nor;code_organisme;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;markup partially oddball;unimpressively aha oof;06:04:00;19:15:00;actual;yowza;wealthy section boo;11:20:00;failing devoted below;07:03:00;11289
2;apricot nectarine furthermore;yak;18:00:00;03:15:00;statue;stump crumble;till;16:48:00;lazy;18:34:00;3493
3;yowza than;aw;11:17:00;04:19:00;past a ack;at;truly needily premier;03:52:00;colossal;20:17:00;12446
4;sans;supposing;14:56:00;11:01:00;out;phooey behind wonderfully;kowtow daintily till;23:39:00;spook task hastily;00:35:00;10080
5;utilized;unless above;20:52:00;12:08:00;whereas highlight ice-cream;sizzling meanwhile;conservation about;10:17:00;who versus fiercely;18:51:00;1976
6;wonderful;inasmuch;01:53:00;23:03:00;ah;flame drat;delete republican;22:54:00;fabricate plus silk;21:51:00;24429
7;embody even;dreamily corrupt tense;03:24:00;23:19:00;nor until pfft;before at absent;requirement;01:42:00;garrote meaningfully stool;01:06:00;31497
8;skyline;because;18:01:00;05:49:00;as but boo;arcade tough chunder;restfully delirious;21:02:00;amongst;23:37:00;24291
9;gadzooks solemnly minus;pro;19:00:00;00:53:00;yearly;and upon humiliating;who belabor;12:26:00;fellow;23:12:00;22730
10;carefree if;up yellow huzzah;21:48:00;03:23:00;needy;inasmuch intermesh brr;shocked interestingly fence;12:48:00;ski;19:38:00;28803
