id;recherche_solvabilite_debut_date;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;04:58:00;mould silently account;whether flu whistle;08:05:00;lack pip who;05:46:00;1131
2;08:48:00;beside till lively;eventually;18:24:00;fireplace accompany distant;15:25:00;6038
3;04:15:00;though replacement nectarine;at owlishly after;09:23:00;safely hamburger geez;21:58:00;27286
4;06:07:00;aw since while;sprinkles violently;16:12:00;yet;08:15:00;21807
5;05:01:00;likewise hydrant;chip;22:25:00;unlike and;18:14:00;20202
6;08:00:00;bah tool;horse along;04:52:00;boastfully overplay;13:31:00;10353
7;10:49:00;now slip;impeccable bind bobble;13:15:00;um often because;09:46:00;32245
8;19:11:00;welcome lest unbearably;afterwards whenever;11:14:00;eek ownership;12:28:00;14687
9;15:50:00;hawk;swiftly truly presume;12:32:00;meal conversation;01:17:00;21643
10;01:45:00;owlishly very lively;digestive continually;02:09:00;than jealously preclude;22:58:00;9893
